,trainloss,Testloss
0,4.4521563048975373e-05,0.00021886506479050518
1,0.0030919780707415823,0.0011381252068905548
2,4.4480284359903985e-05,0.00021840893702552438
3,4.476801683510154e-05,0.0002318087881945828
4,4.4478022809862394e-05,0.00021919531275025917
5,4.447368688222151e-05,0.0002199817257277346
6,4.445959903573061e-05,0.00022315163935744155
7,4.442890967673767e-05,0.00021922540496417195
8,4.4378673935223573e-05,0.00021904375194908897
9,4.43264043595855e-05,0.00021860540189730789
10,4.4316647580476534e-05,0.00021860765689449534
11,4.431046031519956e-05,0.00021871043876898477
12,4.430680288464024e-05,0.00021880014865505976
13,4.430099682257894e-05,0.00021891124207025907
14,4.429403128177528e-05,0.00021899790369558399
15,4.429063110605305e-05,0.00021893466400892795
16,4.428848911827687e-05,0.00021878313372690564
17,4.428752363871267e-05,0.00021866329605907327
18,4.428666980223607e-05,0.00021855061473334103
19,4.428574740738556e-05,0.0002184528419240756
20,4.428436318907646e-05,0.00021834737526174524
21,4.428245436385258e-05,0.00021824864947996868
22,4.42804186240272e-05,0.00021818978930527704
23,4.427868887743742e-05,0.000218178146089742
24,4.427689370274619e-05,0.00021818230614074915
25,4.42739442663914e-05,0.0002181779945379497
26,4.4269000212308184e-05,0.00021814151932498217
27,4.426091341909082e-05,0.00021803901422353753
28,4.425126981251309e-05,0.0002178483919021097
29,4.424780108936861e-05,0.00021773635560038166
30,4.42473122921472e-05,0.0002176874424514915
31,4.4247439600037644e-05,0.00021767245064530067
32,4.4247447120209345e-05,0.0002176431319750013
33,4.424711189491581e-05,0.00021758532891048073
34,4.424615398430421e-05,0.00021747591878579767
35,4.4243999550256336e-05,0.000217267211649603
36,4.423964387909681e-05,0.00021686899410741357
37,4.423136145948399e-05,0.00021610494901292348
38,4.4221554386716515e-05,0.0002152291266992581
39,4.421378196736421e-05,0.00021467694801848534
40,4.420807885368316e-05,0.0002144278995402298
41,4.420581069658453e-05,0.00021443076676976838
42,4.4203175527517024e-05,0.0002144363329997908
43,4.419891768844528e-05,0.000214309434648767
44,4.4191737836987e-05,0.00021386927340216
45,4.418366432733118e-05,0.00021307534216433751
46,4.418086320453363e-05,0.0002126391001864498
47,4.418056404915334e-05,0.00021252432903193908
48,4.418066895763722e-05,0.00021252104169620348
49,4.4180763646006165e-05,0.00021251334164095097
50,4.4180813212145844e-05,0.00021249348164874553
51,4.418076948967371e-05,0.00021244661569302242
52,4.4180570391318894e-05,0.00021235290321718942
53,4.418005875789162e-05,0.0002121656433472006
54,4.417891225143515e-05,0.0002117909933811928
55,4.4176570421819844e-05,0.0002110589686325597
56,4.417195040882454e-05,0.00020963056356192056
57,4.41632609520418e-05,0.00020694702803600721
58,4.4149352626993144e-05,0.0002028410602873987
59,4.413067006692289e-05,0.00019791992584677583
60,4.4109613536571124e-05,0.00019306111722404212
61,4.410011644456047e-05,0.0001915380701661368
62,4.4097895263201065e-05,0.00019182416401168121
63,4.409577348150492e-05,0.00019227123305659544
64,4.409062311844638e-05,0.00019213813028362922
65,4.4079413538372575e-05,0.0001906017579829123
66,4.4057729027268826e-05,0.00018599310975332095
67,4.4043005463020896e-05,0.00018175449446083684
68,4.403756288565128e-05,0.00017966461768119366
69,4.403769552806856e-05,0.0001795080662298852
70,4.4038025474443505e-05,0.00017958805920008836
71,4.403827485532304e-05,0.00017965551739624656
72,4.403853821756489e-05,0.0001797310932822815
73,4.403885535422335e-05,0.00017982925634719887
74,4.403927921200079e-05,0.00017997250793815245
75,4.403988505265101e-05,0.00018019809568503353
76,4.4040787993687044e-05,0.0001805718991788277
77,4.404216222729975e-05,0.0001812137143848346
78,4.404424566871339e-05,0.00018234314927023407
79,4.404725323212098e-05,0.00018435127680779692
80,4.404598821696723e-05,0.00018446997026734462
81,4.4042523051051747e-05,0.0001840754602621788
82,4.403593348289153e-05,0.0001834544626701483
83,4.403484575806688e-05,0.00018334310241379146
84,4.4034798541703044e-05,0.0001833448671728025
85,4.4034780036578446e-05,0.000183346147386375
86,4.4034750966757684e-05,0.00018334407541884144
87,4.403470377187015e-05,0.00018333713109867437
88,4.4034604608192185e-05,0.00018332694545514965
89,4.403441661993271e-05,0.00018336005137096546
90,4.403416548204842e-05,0.00018358582125417176
