,trainloss,Testloss
0,1.2056777841552425e-05,3.106685394073162e-05
1,0.014774893670231402,0.1483740006492168
2,1.1803946053092616e-05,2.7555185580841123e-05
3,1.4364057894092803e-05,1.9360779779556617e-05
4,1.1803039350034944e-05,2.734899058476692e-05
5,1.1801280472333368e-05,2.711172976779192e-05
6,1.1795415415531032e-05,2.618099074353966e-05
7,1.1780301100882313e-05,2.5771148054575687e-05
8,1.1725640884127374e-05,2.4255059246860253e-05
9,1.161055956562458e-05,2.2848142826407397e-05
10,1.1529272446034214e-05,2.304276631111852e-05
11,1.1528825499381758e-05,2.3267183478213003e-05
12,1.1528400619459751e-05,2.3471763441376075e-05
13,1.1527685243757487e-05,2.366961416772695e-05
14,1.1526389102283842e-05,2.3858607043616628e-05
15,1.15239846004654e-05,2.4058152786790803e-05
16,1.151952165941473e-05,2.4281667279995765e-05
17,1.1511365175495561e-05,2.453169060678653e-05
18,1.1496986609573791e-05,2.4789463239539636e-05
19,1.147347712072466e-05,2.4988922045648548e-05
20,1.1440884885870403e-05,2.4926634611287573e-05
21,1.1415236092822753e-05,2.4104857479892987e-05
22,1.1386892260891171e-05,2.2080235974105858e-05
23,1.1376266492292598e-05,2.049540595608462e-05
24,1.1373332425111136e-05,1.9914935906264285e-05
25,1.1371404526549543e-05,1.972332693160551e-05
26,1.1368150542762262e-05,1.958916764832382e-05
27,1.136242234163586e-05,1.949942228351138e-05
28,1.1352302777842665e-05,1.948237181744522e-05
29,1.1335112943384274e-05,1.962680378417008e-05
30,1.1309355071966117e-05,2.015572265908695e-05
31,1.1287690757006377e-05,2.1121035105336135e-05
32,1.1274244499792732e-05,2.20810354829162e-05
33,1.1263336678050226e-05,2.3228321599702234e-05
34,1.125712818582283e-05,2.381237757874482e-05
35,1.1247832973627226e-05,2.4392807751739332e-05
36,1.1233786988024387e-05,2.4974504782284682e-05
37,1.1218855269828221e-05,2.533113675398869e-05
38,1.1211697455990394e-05,2.5302977446005942e-05
39,1.1210254949170238e-05,2.517551248446223e-05
